Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: Generic 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: 51612 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 162.159.130.234
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 192.168.0.4
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: 51612 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 162.159.130.234
Port: 51612 	 Tipo: Generic 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 162.159.130.234
Port: 50004 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 192.168.0.4
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: domain 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 192.168.0.4
Port: https 	 Tipo: DoS 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 2800:150:14c:697:*
Port: 54915 	 Tipo: Exploits 	 Fecha: 4/5/2022 	 Hora: 12:01:10 	 IP: 192.168.0.4
