1,Generic,395,2/10/2020,00:46:56,13/11/2020,20:10:51
54915,Exploits,304,2/10/2020,00:46:56,13/11/2020,20:10:50
https,Exploits,7,2/10/2020,00:46:56,13/11/2020,20:10:48
192.168.0.2,DoS,4,2/10/2020,00:46:57,2/11/2020,00:46:57
mdns,Reconnaissance;Exploits,7;7,2/11/2020;2/11/2020,00:46:57;00:46:58,13/11/2020;13/11/2020,20:10:48;20:10:49
domain,Exploits,7,2/11/2020,00:46:57,13/11/2020,20:10:49
4070,Generic,7,2/11/2020,00:46:57,13/11/2020,20:10:49
hostm*,Reconnaissance,7,2/11/2020,00:46:58,13/11/2020,20:10:49
fe80::1d85:84de:a*,Fuzzers,6,13/11/2020,15:33:48,13/11/2020,20:10:50
