           SrcAddr        Dur   sMeanPktSz     SrcBytes       AckDat  SrcLoad  DstLoad   dMeanPktSz  Dport 
       192.168.0.2   0.000000    54.000000           54     0.000000 0.000000 0.000000     0.000000
       192.168.0.2   0.000000    54.000000           54     0.000000 0.000000 0.000000     0.000000
fe80::1d85:84de:a*   0.000000    87.000000           87     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.000000    67.000000           67     0.000000 0.000000 0.000000     0.000000 hostm*
       192.168.0.2   0.024722    88.000000           88     0.000000 0.000000 0.000000   195.000000 domain
       192.168.0.2   0.136372   110.250000          441     0.000048 19417.4* 17129.6*   145.666672 http
       192.168.0.2   0.019539    90.000000           90     0.000000 0.000000 0.000000   155.000000 domain
       192.168.0.2   0.664077   210.571426         1474     0.000031 15227.1* 68281.2*   944.571411 https
       192.168.0.2   0.664026   210.571426         1474     0.000024 15228.3* 68286.4*   944.571411 https
       192.168.0.2   0.015468    74.000000           74     0.000000 0.000000 0.000000   292.000000 domain
       192.168.0.2   0.203015   120.375000          963     0.000039 33219.2* 300352.*   692.833313 https
       192.168.0.2   0.000000    54.000000           54     0.000000 0.000000 0.000000     0.000000
       192.168.0.2   0.000022    54.000000           54     0.000000 0.000000 0.000000    60.000000 http
       192.168.0.2   0.786654    92.000000         2208     0.000000 21518.9* 0.000000     0.000000 netbi*
fe80::1d85:84de:a*   1.041147    90.000000         7650     0.000000 58089.7* 0.000000     0.000000 mdns
fe80::1d85:84de:a*   0.413416    84.000000          168     0.000000 1625.48* 0.000000     0.000000 hostm*
       192.168.0.2   0.413393    64.000000          128     0.000000 1238.53* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.413197    84.000000          168     0.000000 1626.34* 0.000000     0.000000 hostm*
       192.168.0.2   0.413157    64.000000          128     0.000000 1239.23* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.412296    84.000000          168     0.000000 1629.89* 0.000000     0.000000 hostm*
       192.168.0.2   0.412252    64.000000          128     0.000000 1241.95* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.412069    84.000000          168     0.000000 1630.79* 0.000000     0.000000 hostm*
       192.168.0.2   0.412059    64.000000          128     0.000000 1242.54* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.411683    84.000000          168     0.000000 1632.32* 0.000000     0.000000 hostm*
       192.168.0.2   0.411667    64.000000          128     0.000000 1243.72* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.411434    84.000000          168     0.000000 1633.31* 0.000000     0.000000 hostm*
       192.168.0.2   0.411402    64.000000          128     0.000000 1244.52* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.423826    84.000000          168     0.000000 1585.55* 0.000000     0.000000 hostm*
       192.168.0.2   0.423805    64.000000          128     0.000000 1208.10* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.423519    84.000000          168     0.000000 1586.70* 0.000000     0.000000 hostm*
       192.168.0.2   0.423507    64.000000          128     0.000000 1208.95* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.414782    84.000000          168     0.000000 1620.12* 0.000000     0.000000 hostm*
       192.168.0.2   0.414751    64.000000          128     0.000000 1234.47* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.414529    84.000000          168     0.000000 1621.11* 0.000000     0.000000 hostm*
       192.168.0.2   0.414510    64.000000          128     0.000000 1235.19* 0.000000     0.000000 hostm*
fe80::1d85:84de:a*   0.411012    84.000000          168     0.000000 1634.98* 0.000000     0.000000 hostm*
       192.168.0.2   0.410987    64.000000          128     0.000000 1245.78* 0.000000     0.000000 hostm*
