           SrcAddr        Dur   sMeanPktSz     SrcBytes       AckDat  SrcLoad  DstLoad   dMeanPktSz  Dport 
       192.168.0.4   0.210811    74.500000          149     0.000000 2846.15* 2770.25*    72.500000 https
      192.168.0.13   3.041453   217.000000          868     0.000000 1712.33* 0.000000     0.000000 1900
       192.168.0.4   4.000389   305.000000         3050     0.000000 5489.46* 0.000000     0.000000 54915
fe80::ec21:dd26:e*   4.012680   150.000000          600     0.000000 897.156* 0.000000     0.000000 0x0000
       192.168.0.1   0.000045    60.000000           60     0.000000 0.000000 0.000000    42.000000
   162.159.135.234   4.636411   266.285706         1864     0.000000 2757.30* 621.170*    60.000000 61229
2800:150:14c:697:*   0.901241   573.263184        10892     0.000000 91598.1* 204473.*   959.760010 443
fe80::e657:40ff:f*   2.994617   166.000000          332     0.000000 443.462* 0.000000     0.000000 0x0000
       192.168.0.4   0.386620   126.000000          126     0.000000 0.000000 0.000000    78.000000 27018
       192.168.0.4   4.846294   294.777252        62198     0.000000 102187.* 33401.1*   249.792679 50001
       192.168.0.4   4.863192   123.166664          739     0.000000 1013.32* 564.238*    68.500000 https
       192.168.0.4   4.988583   305.000000         3660     0.000000 5380.28* 0.000000     0.000000 54915
       192.168.0.1   4.480271    60.000000          240     0.000000 321.409* 0.000000     0.000000
fe80::ec21:dd26:e*   3.840761   150.000000          600     0.000000 937.314* 0.000000     0.000000 0x0000
2800:150:14c:697:*   0.017788   103.000000          103     0.000000 0.000000 0.000000   152.000000 domain
2800:150:14c:697:*   0.017233   103.000000          103     0.000000 0.000000 0.000000   164.000000 domain
2800:150:14c:697:*   0.250417   643.000000         9002     0.000000 267042.* 261068.*   680.923096 443
   162.159.135.234   4.867439   187.812500         3005     0.000000 4631.59* 1281.98*    60.000000 61229
2800:150:14c:697:*   0.201775    95.500000          191     0.000000 3806.21* 3726.92*    94.000000 https
       192.168.0.4   0.000000    60.000000           60     0.000000 0.000000 0.000000     0.000000 https
fe80::e657:40ff:f*   0.000229    86.000000           86     0.000000 0.000000 0.000000    78.000000 0x0000
fe80::e657:40ff:f*   3.002184   166.000000          332     0.000000 442.344* 0.000000     0.000000 0x0000
       192.168.0.4   3.737653   291.531250        27987     0.000000 59279.9* 25376.3*   219.545456 50001
 2600:1901:1:c36::   0.041383   147.000000          147     0.000000 0.000000 0.000000    74.000000 62251
fe80::1852:e3a5:c*   0.000000    90.000000           90     0.000000 0.000000 0.000000     0.000000 0x0000
2800:150:14c:697:*   0.046153    75.000000           75     0.000000 0.000000 0.000000    86.000000 https
